 #*******************************************************************************************
 #N     h       T-Rule.      S-Rule        G-Quad    Error_trap     Error_simp   Error_gau
 #*******************************************************************************************
    720   0.0028    3.14159417  3.14159203  3.14158249  0.00000046  0.00000023  0.00000326
    730   0.0027    3.14159250  3.14159274  3.14158082  0.00000008  0.00000000  0.00000379
    740   0.0027    3.14159346  3.14159369  3.14158344  0.00000023  0.00000030  0.00000296
    750   0.0027    3.14159226  3.14159322  3.14158154  0.00000015  0.00000015  0.00000357
    760   0.0026    3.14159203  3.14159298  3.14158177  0.00000023  0.00000008  0.00000349
    770   0.0026    3.14159060  3.14159274  3.14158154  0.00000068  0.00000000  0.00000357
    780   0.0026    3.14158869  3.14159107  3.14158201  0.00000129  0.00000053  0.00000342
    790   0.0025    3.14159250  3.14159274  3.14158607  0.00000008  0.00000000  0.00000212
    800   0.0025    3.14159155  3.14159131  3.14158487  0.00000038  0.00000046  0.00000250
    810   0.0025    3.14159155  3.14159346  3.14158463  0.00000038  0.00000023  0.00000258
    820   0.0024    3.14159155  3.14159369  3.14158177  0.00000038  0.00000030  0.00000349
    830   0.0024    3.14159107  3.14159226  3.14158201  0.00000053  0.00000015  0.00000342
    840   0.0024    3.14159131  3.14159250  3.14158535  0.00000046  0.00000008  0.00000235
    850   0.0024    3.14159012  3.14159417  3.14158130  0.00000083  0.00000046  0.00000364
    860   0.0023    3.14159250  3.14159226  3.14158416  0.00000008  0.00000015  0.00000273
    870   0.0023    3.14159083  3.14159274  3.14158559  0.00000061  0.00000000  0.00000228
    880   0.0023    3.14159107  3.14159346  3.14158368  0.00000053  0.00000023  0.00000288
    890   0.0022    3.14159036  3.14159369  3.14158535  0.00000076  0.00000030  0.00000235
    900   0.0022    3.14159179  3.14159036  3.14158487  0.00000030  0.00000076  0.00000250
    910   0.0022    3.14159155  3.14159155  3.14158678  0.00000038  0.00000038  0.00000190
    920   0.0022    3.14158869  3.14159393  3.14158440  0.00000129  0.00000038  0.00000266
    930   0.0022    3.14159060  3.14159322  3.14158559  0.00000068  0.00000015  0.00000228
    940   0.0021    3.14159226  3.14159322  3.14158463  0.00000015  0.00000015  0.00000258
    950   0.0021    3.14158893  3.14159203  3.14158535  0.00000121  0.00000023  0.00000235
    960   0.0021    3.14159226  3.14158940  3.14158463  0.00000015  0.00000106  0.00000258
    970   0.0021    3.14159274  3.14159369  3.14158607  0.00000000  0.00000030  0.00000212
    980   0.0020    3.14159298  3.14158988  3.14158535  0.00000008  0.00000091  0.00000235
    990   0.0020    3.14159012  3.14159179  3.14158535  0.00000083  0.00000030  0.00000235
   1000   0.0020    3.14158988  3.14159155  3.14158535  0.00000091  0.00000038  0.00000235
   1010   0.0020    3.14158893  3.14159226  3.14158535  0.00000121  0.00000015  0.00000235
   1020   0.0020    3.14158845  3.14159441  3.14158654  0.00000137  0.00000053  0.00000197
   1030   0.0019    3.14159203  3.14159226  3.14158607  0.00000023  0.00000015  0.00000212
   1040   0.0019    3.14159107  3.14159560  3.14158750  0.00000053  0.00000091  0.00000167
   1050   0.0019    3.14159083  3.14159298  3.14158702  0.00000061  0.00000008  0.00000182
   1060   0.0019    3.14159322  3.14159203  3.14158773  0.00000015  0.00000023  0.00000159
   1070   0.0019    3.14159179  3.14159226  3.14158916  0.00000030  0.00000015  0.00000114
   1080   0.0019    3.14159036  3.14159036  3.14158845  0.00000076  0.00000076  0.00000137
   1090   0.0018    3.14159131  3.14159155  3.14158654  0.00000046  0.00000038  0.00000197
   1100   0.0018    3.14159441  3.14159083  3.14158869  0.00000053  0.00000061  0.00000129
   1110   0.0018    3.14159060  3.14159298  3.14158583  0.00000068  0.00000008  0.00000220
   1120   0.0018    3.14159131  3.14159322  3.14158797  0.00000046  0.00000015  0.00000152
   1130   0.0018    3.14159369  3.14159369  3.14159060  0.00000030  0.00000030  0.00000068
   1140   0.0018    3.14159036  3.14159179  3.14159036  0.00000076  0.00000030  0.00000076
   1150   0.0017    3.14159036  3.14159274  3.14158821  0.00000076  0.00000000  0.00000144
   1160   0.0017    3.14158940  3.14159465  3.14158893  0.00000106  0.00000061  0.00000121
   1170   0.0017    3.14159513  3.14159441  3.14158845  0.00000076  0.00000053  0.00000137
   1180   0.0017    3.14159274  3.14159322  3.14158988  0.00000000  0.00000015  0.00000091
   1190   0.0017    3.14159131  3.14159536  3.14158797  0.00000046  0.00000083  0.00000152
   1200   0.0017    3.14159322  3.14159131  3.14158750  0.00000015  0.00000046  0.00000167
   1210   0.0017    3.14159274  3.14159369  3.14158821  0.00000000  0.00000030  0.00000144
   1220   0.0016    3.14159393  3.14159179  3.14158773  0.00000038  0.00000030  0.00000159
   1230   0.0016    3.14159107  3.14159155  3.14158916  0.00000053  0.00000038  0.00000114
   1240   0.0016    3.14159155  3.14159346  3.14159060  0.00000038  0.00000023  0.00000068
   1250   0.0016    3.14159012  3.14159393  3.14158845  0.00000083  0.00000038  0.00000137
   1260   0.0016    3.14158893  3.14159369  3.14158869  0.00000121  0.00000030  0.00000129
   1270   0.0016    3.14159274  3.14159131  3.14158511  0.00000000  0.00000046  0.00000243
   1280   0.0016    3.14159155  3.14159226  3.14158893  0.00000038  0.00000015  0.00000121
   1290   0.0016    3.14159322  3.14159346  3.14159036  0.00000015  0.00000023  0.00000076
   1300   0.0015    3.14159369  3.14159274  3.14158964  0.00000030  0.00000000  0.00000099
   1310   0.0015    3.14159393  3.14159489  3.14158988  0.00000038  0.00000068  0.00000091
   1320   0.0015    3.14159679  3.14159226  3.14158988  0.00000129  0.00000015  0.00000091
   1330   0.0015    3.14158797  3.14159513  3.14159036  0.00000152  0.00000076  0.00000076
   1340   0.0015    3.14159369  3.14159298  3.14159155  0.00000030  0.00000008  0.00000038
   1350   0.0015    3.14159131  3.14159155  3.14159131  0.00000046  0.00000038  0.00000046
   1360   0.0015    3.14159155  3.14159250  3.14158869  0.00000038  0.00000008  0.00000129
   1370   0.0015    3.14159155  3.14159155  3.14158964  0.00000038  0.00000038  0.00000099
   1380   0.0014    3.14159513  3.14159083  3.14158797  0.00000076  0.00000061  0.00000152
   1390   0.0014    3.14159155  3.14159513  3.14159107  0.00000038  0.00000076  0.00000053
   1400   0.0014    3.14159250  3.14159179  3.14158869  0.00000008  0.00000030  0.00000129
   1410   0.0014    3.14159274  3.14159131  3.14158702  0.00000000  0.00000046  0.00000182
   1420   0.0014    3.14159060  3.14159083  3.14158845  0.00000068  0.00000061  0.00000137
   1430   0.0014    3.14159060  3.14159489  3.14158988  0.00000068  0.00000068  0.00000091
   1440   0.0014    3.14158964  3.14159346  3.14158964  0.00000099  0.00000023  0.00000099
   1450   0.0014    3.14159346  3.14159441  3.14159250  0.00000023  0.00000053  0.00000008
   1460   0.0014    3.14158797  3.14159369  3.14158964  0.00000152  0.00000030  0.00000099
   1470   0.0014    3.14159179  3.14159107  3.14159346  0.00000030  0.00000053  0.00000023
   1480   0.0014    3.14159155  3.14159250  3.14158726  0.00000038  0.00000008  0.00000175
   1490   0.0013    3.14159369  3.14158916  3.14158821  0.00000030  0.00000114  0.00000144
   1500   0.0013    3.14159179  3.14158821  3.14159250  0.00000030  0.00000144  0.00000008
