 #***************************************************
   #      N       sumlegendre        error
 #***************************************************
         2       6.75589263      0.04033811
         4       6.40807895      0.01322163
         6       6.47717504      0.00258154
         8       6.49555412      0.00024865
        10       6.49393262      0.00000104
