 -0.950   -0.940230D+00
 -0.900   -0.132938D+01
 -0.850   -0.147926D+01
 -0.800   -0.151211D+01
 -0.750   -0.147466D+01
 -0.700   -0.139196D+01
 -0.650   -0.127988D+01
 -0.600   -0.114953D+01
 -0.550   -0.100921D+01
 -0.500   -0.865321D+00
 -0.450   -0.723002D+00
 -0.400   -0.586406D+00
 -0.350   -0.458937D+00
 -0.300   -0.343391D+00
 -0.250   -0.242053D+00
 -0.200   -0.156765D+00
 -0.150   -0.889814D-01
 -0.100   -0.397995D-01
 -0.050   -0.998749D-02
  0.000   -0.493038D-31
  0.050   -0.998749D-02
  0.100   -0.397995D-01
  0.150   -0.889814D-01
  0.200   -0.156765D+00
  0.250   -0.242053D+00
  0.300   -0.343391D+00
  0.350   -0.458937D+00
  0.400   -0.586406D+00
  0.450   -0.723002D+00
  0.500   -0.865321D+00
  0.550   -0.100921D+01
  0.600   -0.114953D+01
  0.650   -0.127988D+01
  0.700   -0.139196D+01
  0.750   -0.147466D+01
  0.800   -0.151211D+01
  0.850   -0.147926D+01
  0.900   -0.132938D+01
  0.950   -0.940230D+00
